id,server_rcv,server_send
1,1597935877.959522,1597935877.959542
2,1597935878.097409,1597935878.097417
3,1597935878.234787,1597935878.234806
4,1597935878.369753,1597935878.369773
5,1597935878.504933,1597935878.504951
6,1597935878.651076,1597935878.651095
7,1597935878.786849,1597935878.786868
8,1597935878.922666,1597935878.922685
9,1597935879.057539,1597935879.057547
10,1597935879.196722,1597935879.196741
11,1597935879.333006,1597935879.333025
12,1597935879.46962,1597935879.469639
13,1597935879.607623,1597935879.607642
14,1597935879.743956,1597935879.743974
15,1597935879.879644,1597935879.879662
16,1597935880.015295,1597935880.015304
17,1597935880.151679,1597935880.151697
18,1597935880.289344,1597935880.28936
19,1597935880.425361,1597935880.425378
20,1597935880.562567,1597935880.562576
21,1597935880.698157,1597935880.698175
22,1597935880.834037,1597935880.834056
23,1597935880.970325,1597935880.970337
24,1597935881.112196,1597935881.112205
