id,server_rcv,server_send
1,1597936641.15764,1597936641.157654
2,1597936641.286399,1597936641.286416
3,1597936641.41337,1597936641.413387
4,1597936641.540655,1597936641.540672
5,1597936641.666878,1597936641.666895
6,1597936641.793988,1597936641.793997
7,1597936641.920958,1597936641.920965
8,1597936642.04914,1597936642.049149
9,1597936642.17597,1597936642.175986
10,1597936642.303842,1597936642.303853
11,1597936642.432601,1597936642.432615
12,1597936642.564172,1597936642.564189
13,1597936642.692488,1597936642.692506
14,1597936642.820244,1597936642.820251
15,1597936642.958753,1597936642.95876
16,1597936643.085763,1597936643.08577
17,1597936643.218873,1597936643.21888
18,1597936643.345016,1597936643.345036
19,1597936643.473482,1597936643.473498
20,1597936643.601261,1597936643.601276
21,1597936643.729044,1597936643.729061
22,1597936643.855577,1597936643.855585
23,1597936643.981829,1597936643.981845
24,1597936644.110395,1597936644.110402
25,1597936644.238941,1597936644.238961
26,1597936644.36433,1597936644.364342
27,1597936644.490528,1597936644.490543
28,1597936644.618435,1597936644.618452
29,1597936644.747132,1597936644.747148
30,1597936644.874211,1597936644.874219
31,1597936645.005912,1597936645.005928
32,1597936645.134745,1597936645.134755
33,1597936645.264981,1597936645.264996
34,1597936645.391715,1597936645.391723
35,1597936645.519031,1597936645.519048
36,1597936645.645004,1597936645.645021
37,1597936645.77409,1597936645.774106
38,1597936645.901648,1597936645.901665
39,1597936646.029638,1597936646.029656
40,1597936646.15696,1597936646.156975
41,1597936646.289579,1597936646.289596
42,1597936646.416216,1597936646.416229
43,1597936646.542362,1597936646.542379
44,1597936646.667558,1597936646.667576
45,1597936646.79691,1597936646.796916
46,1597936646.922715,1597936646.922722
