id,client_send,client_rcv
1,1597933723.12782,1597933723.266003
2,1597933723.266097,1597933723.406036
3,1597933723.406128,1597933723.545681
4,1597933723.545773,1597933723.684341
5,1597933723.684437,1597933723.822808
6,1597933723.822896,1597933723.960467
7,1597933723.960556,1597933724.101305
8,1597933724.101395,1597933724.238841
9,1597933724.238932,1597933724.378071
10,1597933724.378162,1597933724.518932
11,1597933724.519025,1597933724.658635
12,1597933724.658731,1597933724.796445
13,1597933724.796537,1597933724.933185
14,1597933724.933276,1597933725.070779
15,1597933725.070872,1597933725.208387
16,1597933725.208475,1597933725.34789
17,1597933725.347981,1597933725.485275
18,1597933725.485373,1597933725.621978
19,1597933725.622072,1597933725.761309
20,1597933725.761402,1597933725.898921
21,1597933725.899017,1597933726.03716
22,1597933726.037248,1597933726.176222
23,1597933726.176315,1597933726.316506
24,1597933726.316596,1597933726.45504
25,1597933726.455133,1597933726.593328
26,1597933726.593422,1597933726.730131
27,1597933726.730227,1597933726.866875
28,1597933726.866978,1597933727.006116
