id,client_send,client_rcv
1,1597933956.038205,1597933956.16531
2,1597933956.165405,1597933956.293281
3,1597933956.293378,1597933956.424513
4,1597933956.42462,1597933956.55334
5,1597933956.553434,1597933956.680521
6,1597933956.680614,1597933956.813397
7,1597933956.813489,1597933956.942976
8,1597933956.94307,1597933957.072565
9,1597933957.072659,1597933957.200553
10,1597933957.200654,1597933957.327701
11,1597933957.327793,1597933957.457175
12,1597933957.457261,1597933957.586204
13,1597933957.586294,1597933957.714979
14,1597933957.715069,1597933957.842193
15,1597933957.842288,1597933957.969195
16,1597933957.969288,1597933958.098092
17,1597933958.098186,1597933958.227745
18,1597933958.227837,1597933958.357403
19,1597933958.3575,1597933958.487006
20,1597933958.487099,1597933958.61572
21,1597933958.615811,1597933958.744474
22,1597933958.744564,1597933958.883773
23,1597933958.883864,1597933959.013425
24,1597933959.013519,1597933959.141278
25,1597933959.141368,1597933959.273414
