id,client_send,client_rcv
1,1597933574.473175,1597933574.62033
2,1597933574.620417,1597933574.767687
3,1597933574.767776,1597933574.917895
4,1597933574.917988,1597933575.06999
5,1597933575.070084,1597933575.218718
6,1597933575.218808,1597933575.364383
7,1597933575.364471,1597933575.511573
8,1597933575.511664,1597933575.660441
9,1597933575.660533,1597933575.808215
10,1597933575.808305,1597933575.956377
11,1597933575.956469,1597933576.105855
12,1597933576.105947,1597933576.252372
13,1597933576.252466,1597933576.400229
14,1597933576.400316,1597933576.547461
15,1597933576.547554,1597933576.696349
16,1597933576.696443,1597933576.845065
