id,client_send,client_rcv
1,1597933562.979604,1597933563.110854
2,1597933563.110947,1597933563.243683
3,1597933563.243775,1597933563.375519
4,1597933563.37561,1597933563.509188
5,1597933563.50928,1597933563.641109
6,1597933563.641205,1597933563.771589
7,1597933563.771678,1597933563.901122
8,1597933563.901212,1597933564.030904
9,1597933564.03101,1597933564.163578
10,1597933564.163679,1597933564.2965
11,1597933564.296587,1597933564.42768
12,1597933564.427773,1597933564.56643
13,1597933564.566525,1597933564.697135
14,1597933564.697225,1597933564.829209
15,1597933564.829297,1597933564.959032
16,1597933564.959118,1597933565.088311
17,1597933565.088406,1597933565.218117
18,1597933565.21821,1597933565.349911
19,1597933565.350006,1597933565.480471
20,1597933565.480561,1597933565.61239
21,1597933565.612494,1597933565.742924
22,1597933565.743035,1597933565.875064
23,1597933565.875154,1597933566.008503
24,1597933566.008591,1597933566.13965
25,1597933566.139743,1597933566.269231
26,1597933566.26932,1597933566.400444
