id,server_rcv,server_send
1,1597933838.671432,1597933838.671451
2,1597933838.818788,1597933838.818806
3,1597933838.96681,1597933838.966828
4,1597933839.113026,1597933839.113033
5,1597933839.258826,1597933839.258845
6,1597933839.404908,1597933839.404922
7,1597933839.551437,1597933839.551455
8,1597933839.697415,1597933839.697423
9,1597933839.845691,1597933839.845699
10,1597933839.993848,1597933839.993866
11,1597933840.142758,1597933840.142776
12,1597933840.290112,1597933840.290131
13,1597933840.437223,1597933840.437233
14,1597933840.585421,1597933840.585439
