id,client_send,client_rcv
1,1597933739.417831,1597933739.564927
2,1597933739.565017,1597933739.718557
3,1597933739.718647,1597933739.864983
4,1597933739.865073,1597933740.01391
5,1597933740.014008,1597933740.160127
6,1597933740.160219,1597933740.308246
7,1597933740.308347,1597933740.453851
8,1597933740.453947,1597933740.60172
9,1597933740.601815,1597933740.750668
10,1597933740.750764,1597933740.898789
11,1597933740.898874,1597933741.04517
12,1597933741.045264,1597933741.191703
13,1597933741.191791,1597933741.34042
14,1597933741.340511,1597933741.486118
15,1597933741.486207,1597933741.646085
16,1597933741.646175,1597933741.791683
17,1597933741.791778,1597933741.938856
